1,Al Horford,12000000,Atlanta Hawks,15,15
2,Paul Millsap,9500000,Atlanta Hawks,15,15
3,Jeff Teague,8000000,Atlanta Hawks,15,15
4,Kyle Korver,6253521,Atlanta Hawks,15,15
5,Thabo Sefolosha,4150000,Atlanta Hawks,15,15
6,Mike Scott,3333333,Atlanta Hawks,15,15
7,DeMarre Carroll,2442455,Atlanta Hawks,15,15
8,Shelvin Mack,2433333,Atlanta Hawks,15,15
9,Kent Bazemore,2000000,Atlanta Hawks,15,15
10,Elton Brand,2000000,Atlanta Hawks,15,15
11,Adreian Payne,1855320,Atlanta Hawks,15,15
12,Dennis Schröder,1690680,Atlanta Hawks,15,15
13,John Jenkins,1312920,Atlanta Hawks,15,15
14,Pero Antic,1250000,Atlanta Hawks,15,15
15,John Salmons,1000000,Atlanta Hawks,15,15
16,Mike Muscala,816482,Atlanta Hawks,15,15
1,Rajon Rondo,12909091,Boston Celtics,26,13
2,Gerald Wallace,10105855,Boston Celtics,26,13
3,Jeff Green,9445000,Boston Celtics,26,13
4,Marcus Thornton,8575000,Boston Celtics,26,13
5,Avery Bradley,7191011,Boston Celtics,26,13
6,Brandon Bass,6900000,Boston Celtics,26,13
7,Marcus Smart,3283320,Boston Celtics,26,13
8,Evan Turner,3278000,Boston Celtics,26,13
9,Will Bynum,2915908,Boston Celtics,26,13
10,Vitor Faverani,2090000,Boston Celtics,26,13
11,Kelly Olynyk,2075760,Boston Celtics,26,13
12,Tyler Zeller,1703760,Boston Celtics,26,13
13,James Young,1674480,Boston Celtics,26,13
14,Jared Sullinger,1424520,Boston Celtics,26,13
15,Phil Pressey,816482,Boston Celtics,26,13
16,Dwight Powell,507336,Boston Celtics,26,13
17,Erik Murphy,100000,Boston Celtics,26,13
1,Joe Johnson,23180790,Brooklyn Nets,21,11
2,Deron Williams,19754465,Brooklyn Nets,21,11
3,Brook Lopez,15719063,Brooklyn Nets,21,11
4,Kevin Garnett,12000000,Brooklyn Nets,21,11
5,Jarrett Jack,6300000,Brooklyn Nets,21,11
6,Travis Outlaw,4000000,Brooklyn Nets,21,11
7,Mirza Teletovic,3368100,Brooklyn Nets,21,11
8,Bojan Bogdanovic,3278000,Brooklyn Nets,21,11
9,Sergey Karasev,1533840,Brooklyn Nets,21,11
10,Mason Plumlee,1357080,Brooklyn Nets,21,11
11,Alan Anderson,1276061,Brooklyn Nets,21,11
12,Jerome Jordan,915243,Brooklyn Nets,21,11
13,Brandon Davies,816482,Brooklyn Nets,21,11
14,Markel Brown,507336,Brooklyn Nets,21,11
15,Cory Jefferson,507336,Brooklyn Nets,21,11
16,Darius Morris,1,Brooklyn Nets,21,11
1,Al Jefferson,13666667,Charlotte Hornets,23,4
2,Tyrus Thomas,9388000,Charlotte Hornets,23,4
3,Lance Stephenson,9000000,Charlotte Hornets,23,4
4,Marvin Williams,7000000,Charlotte Hornets,23,4
5,Gerald Henderson,6000000,Charlotte Hornets,23,4
6,Michael Kidd-Gilchrist,5016960,Charlotte Hornets,23,4
7,Cody Zeller,4030560,Charlotte Hornets,23,4
8,Bismack Biyombo,3873398,Charlotte Hornets,23,4
9,Kemba Walker,3272091,Charlotte Hornets,23,4
10,Gary Neal,3250000,Charlotte Hornets,23,4
11,Brian Roberts,2732000,Charlotte Hornets,23,4
12,Noah Vonleh,2524200,Charlotte Hornets,23,4
13,Jannero Pargo,1448490,Charlotte Hornets,23,4
14,Jason Maxiell,1316809,Charlotte Hornets,23,4
15,P.J. Hairston,1149720,Charlotte Hornets,23,4
16,Jeffery Taylor,915243,Charlotte Hornets,23,4
1,Derrick Rose,18862875,Chicago Bulls,30,1
2,Carlos Boozer,13550000,Chicago Bulls,30,1
3,Joakim Noah,12200000,Chicago Bulls,30,1
4,Taj Gibson,8000000,Chicago Bulls,30,1
5,Pau Gasol,7128000,Chicago Bulls,30,1
6,Nikola Mirotic,5305000,Chicago Bulls,30,1
7,Mike Dunleavy,3326235,Chicago Bulls,30,1
8,Kirk Hinrich,2730000,Chicago Bulls,30,1
9,Doug McDermott,2277960,Chicago Bulls,30,1
10,Jimmy Butler,2008748,Chicago Bulls,30,1
11,Tony Snell,1472400,Chicago Bulls,30,1
12,Nazr Mohammed,1448490,Chicago Bulls,30,1
13,Aaron Brooks,1145685,Chicago Bulls,30,1
14,E'Twaun Moore,948163,Chicago Bulls,30,1
15,Cameron Bairstow,507336,Chicago Bulls,30,1
16,Richard Hamilton,333333,Chicago Bulls,30,1
1,LeBron James,20644400,Cleveland Cavaliers,22,16
2,Kevin Love,15719062,Cleveland Cavaliers,22,16
3,Anderson Varejao,9704595,Cleveland Cavaliers,22,16
4,Kyrie Irving,7070730,Cleveland Cavaliers,22,16
5,Tristan Thompson,5138430,Cleveland Cavaliers,22,16
6,Dion Waiters,4062000,Cleveland Cavaliers,22,16
7,Mike Miller,2732000,Cleveland Cavaliers,22,16
8,Brendan Haywood,2213688,Cleveland Cavaliers,22,16
9,James Jones,1448490,Cleveland Cavaliers,22,16
10,Shawn Marion,1448490,Cleveland Cavaliers,22,16
11,Louis Amundson,1310286,Cleveland Cavaliers,22,16
12,Joe Harris,884879,Cleveland Cavaliers,22,16
13,A.J. Price,866879,Cleveland Cavaliers,22,16
14,Matthew Dellavedova,816482,Cleveland Cavaliers,22,16
15,Alex Kirk,507336,Cleveland Cavaliers,22,16
1,Chandler Parsons,14700000,Dallas Mavericks,8,20
2,Tyson Chandler,14598888,Dallas Mavericks,8,20
3,Monta Ellis,8360000,Dallas Mavericks,8,20
4,Dirk Nowitzki,7974482,Dallas Mavericks,8,20
5,Brandan Wright,5000000,Dallas Mavericks,8,20
6,Devin Harris,3878000,Dallas Mavericks,8,20
7,Raymond Felton,3793693,Dallas Mavericks,8,20
8,Jameer Nelson,2732000,Dallas Mavericks,8,20
9,Richard Jefferson,1448490,Dallas Mavericks,8,20
10,Charlie Villanueva,1316809,Dallas Mavericks,8,20
11,Jose Barea,1310286,Dallas Mavericks,8,20
12,Al-Farouq Aminu,1100602,Dallas Mavericks,8,20
13,Bernard James,915243,Dallas Mavericks,8,20
14,Ricky Ledo,816482,Dallas Mavericks,8,20
15,Gal Mekel,816482,Dallas Mavericks,8,20
16,Eric Griffin,507336,Dallas Mavericks,8,20
17,Ivan Johnson,25000,Dallas Mavericks,8,20
1,Ty Lawson,11595506,Denver Nuggets,9,28
2,JaVale McGee,11250000,Denver Nuggets,9,28
3,Danilo Gallinari,10854850,Denver Nuggets,9,28
4,Arron Afflalo,7312500,Denver Nuggets,9,28
5,Wilson Chandler,6757913,Denver Nuggets,9,28
6,J.J. Hickson,5381750,Denver Nuggets,9,28
7,Timofey Mozgov,4650000,Denver Nuggets,9,28
8,Randy Foye,3135000,Denver Nuggets,9,28
9,Kenneth Faried,2249768,Denver Nuggets,9,28
10,Nate Robinson,2106720,Denver Nuggets,9,28
11,Jusuf Nurkic,1762680,Denver Nuggets,9,28
12,Gary Harris,1519200,Denver Nuggets,9,28
13,Alonzo Gee,1063384,Denver Nuggets,9,28
14,Erick Green,507336,Denver Nuggets,9,28
15,Quincy Miller,150000,Denver Nuggets,9,28
16,Jerrelle Benimon,35000,Denver Nuggets,9,28
1,Josh Smith,14000000,Detroit Pistons,14,27
2,Brandon Jennings,8000000,Detroit Pistons,14,27
3,Jodie Meeks,6000000,Detroit Pistons,14,27
4,Greg Monroe,5479934,Detroit Pistons,14,27
5,Caron Butler,4500000,Detroit Pistons,14,27
6,Joel Anthony,3800000,Detroit Pistons,14,27
7,D.J. Augustin,3000000,Detroit Pistons,14,27
8,Kentavious Caldwell-Pope,2772480,Detroit Pistons,14,27
9,Luigi Datome,1750000,Detroit Pistons,14,27
10,Aaron Gray,1227985,Detroit Pistons,14,27
11,Cartier Martin,1145685,Detroit Pistons,14,27
12,Kyle Singler,1090000,Detroit Pistons,14,27
13,Tony Mitchell,816482,Detroit Pistons,14,27
14,Spencer Dinwiddie,700000,Detroit Pistons,14,27
1,David Lee,15012000,Golden State Warriors,10,10
2,Andrew Bogut,12972973,Golden State Warriors,10,10
3,Andre Iguodala,12289544,Golden State Warriors,10,10
4,Stephen Curry,10629213,Golden State Warriors,10,10
5,Shaun Livingston,5305000,Golden State Warriors,10,10
6,Marreese Speights,3657500,Golden State Warriors,10,10
7,Klay Thompson,3075880,Golden State Warriors,10,10
8,Harrison Barnes,3049920,Golden State Warriors,10,10
9,Leandro Barbosa,1448490,Golden State Warriors,10,10
10,Brandon Rush,1145685,Golden State Warriors,10,10
11,Festus Ezeli,1112880,Golden State Warriors,10,10
12,Nemanja Nedovic,1104240,Golden State Warriors,10,10
13,Draymond Green,915243,Golden State Warriors,10,10
14,Justin Holiday,816482,Golden State Warriors,10,10
15,Ognjen Kuzmic,816482,Golden State Warriors,10,10
16,Aaron Craft,35000,Golden State Warriors,10,10
17,Mitchell Watt,35000,Golden State Warriors,10,10
18,James Michael McAdoo,35000,Golden State Warriors,10,10
19,Sean Kilpatrick,35000,Golden State Warriors,10,10
1,Dwight Howard,21436271,Houston Rockets,2,23
2,James Harden,14728844,Houston Rockets,2,23
3,Trevor Ariza,8579089,Houston Rockets,2,23
4,Luis Scola,6541000,Houston Rockets,2,23
5,Jason Terry,5850313,Houston Rockets,2,23
6,Kostas Papanikolaou,4800000,Houston Rockets,2,23
7,Terrence Jones,1618680,Houston Rockets,2,23
8,Donatas Motiejunas,1483920,Houston Rockets,2,23
9,Francisco Garcia,1316809,Houston Rockets,2,23
10,Clint Capela,1189200,Houston Rockets,2,23
11,Ish Smith,981084,Houston Rockets,2,23
12,Jeff Adrien,981084,Houston Rockets,2,23
13,Joey Dorsey,948163,Houston Rockets,2,23
14,Patrick Beverley,915243,Houston Rockets,2,23
15,Troy Daniels,816482,Houston Rockets,2,23
16,Isaiah Canaan,816482,Houston Rockets,2,23
17,Nick Johnson,507336,Houston Rockets,2,23
18,Tarik Black,507336,Houston Rockets,2,23
19,Robert Covington,150000,Houston Rockets,2,23
20,Akil Mitchell,150000,Houston Rockets,2,23
1,Paul George,15925680,Indiana Pacers,24,2
2,Roy Hibbert,14898938,Indiana Pacers,24,2
3,David West,12000000,Indiana Pacers,24,2
4,George Hill,8000000,Indiana Pacers,24,2
5,Luis Scola,4868499,Indiana Pacers,24,2
6,C.J. Miles,4205000,Indiana Pacers,24,2
7,Ian Mahinmi,4000000,Indiana Pacers,24,2
8,Chris Copeland,3135000,Indiana Pacers,24,2
9,C.J. Watson,2106720,Indiana Pacers,24,2
10,Solomon Hill,1302840,Indiana Pacers,24,2
11,Rodney Stuckey,1227985,Indiana Pacers,24,2
12,Damjan Rudez,1100000,Indiana Pacers,24,2
13,Donald Sloan,948163,Indiana Pacers,24,2
14,Lavoy Allen,948163,Indiana Pacers,24,2
15,Shayne Whittington,507336,Indiana Pacers,24,2
1,Chris Paul,20068563,Los Angeles Clippers,1,14
2,Blake Griffin,17674612,Los Angeles Clippers,1,14
3,DeAndre Jordan,11440124,Los Angeles Clippers,1,14
4,J.J. Redick,6583500,Los Angeles Clippers,1,14
5,Jamal Crawford,5450000,Los Angeles Clippers,1,14
6,Spencer Hawes,5305000,Los Angeles Clippers,1,14
7,Matt Barnes,3369250,Los Angeles Clippers,1,14
8,Jordan Farmar,2077000,Los Angeles Clippers,1,14
9,Hedo Turkoglu,1448490,Los Angeles Clippers,1,14
10,Glen Davis,1227985,Los Angeles Clippers,1,14
11,Reggie Bullock,1200720,Los Angeles Clippers,1,14
12,C.J. Wilcox,1109760,Los Angeles Clippers,1,14
13,Ekpe Udoh,981084,Los Angeles Clippers,1,14
14,Chris Douglas-Roberts,915243,Los Angeles Clippers,1,14
15,Jared Cunningham,915243,Los Angeles Clippers,1,14
16,Carlos Delfino,650000,Los Angeles Clippers,1,14
17,Miroslav Raduljica,300000,Los Angeles Clippers,1,14
1,Kobe Bryant,23500000,Los Angeles Lakers,11,29
2,Steve Nash,9701000,Los Angeles Lakers,11,29
3,Jordan Hill,9000000,Los Angeles Lakers,11,29
4,Jeremy Lin,8374646,Los Angeles Lakers,11,29
5,Nick Young,4994420,Los Angeles Lakers,11,29
6,Carlos Boozer,3250000,Los Angeles Lakers,11,29
7,Julius Randle,2997360,Los Angeles Lakers,11,29
8,Ryan Kelly,1650000,Los Angeles Lakers,11,29
9,Ronnie Price,1316809,Los Angeles Lakers,11,29
10,Xavier Henry,1082000,Los Angeles Lakers,11,29
11,Wayne Ellington,1063384,Los Angeles Lakers,11,29
12,Wesley Johnson,981084,Los Angeles Lakers,11,29
13,Ed Davis,981084,Los Angeles Lakers,11,29
14,Robert Sacre,915243,Los Angeles Lakers,11,29
15,Jordan Clarkson,507336,Los Angeles Lakers,11,29
1,Marc Gasol,15829688,Memphis Grizzlies,27,3
2,Mike Conley,8694216,Memphis Grizzlies,27,3
3,Tayshaun Prince,7707865,Memphis Grizzlies,27,3
4,Courtney Lee,5450000,Memphis Grizzlies,27,3
5,Tony Allen,4831461,Memphis Grizzlies,27,3
6,Vince Carter,3911981,Memphis Grizzlies,27,3
7,Quincy Pondexter,3146068,Memphis Grizzlies,27,3
8,Kosta Koufos,3000000,Memphis Grizzlies,27,3
9,Beno Udrih,2077000,Memphis Grizzlies,27,3
10,Jordan Adams,1344120,Memphis Grizzlies,27,3
11,Jon Leuer,967500,Memphis Grizzlies,27,3
12,Nick Calathes,816482,Memphis Grizzlies,27,3
13,Jarnell Stokes,725000,Memphis Grizzlies,27,3
14,Fab Melo,437080,Memphis Grizzlies,27,3
15,Jamaal Franklin,163296,Memphis Grizzlies,27,3
1,Chris Bosh,20644400,Miami Heat,12,5
2,Dwyane Wade,15000000,Miami Heat,12,5
3,Luol Deng,9714461,Miami Heat,12,5
4,Mike Miller,6600000,Miami Heat,12,5
5,Chris Andersen,5375000,Miami Heat,12,5
6,Josh McRoberts,5305000,Miami Heat,12,5
7,Mario Chalmers,4000000,Miami Heat,12,5
8,Udonis Haslem,2732000,Miami Heat,12,5
9,Danny Granger,2077000,Miami Heat,12,5
10,Shabazz Napier,1238640,Miami Heat,12,5
11,Shawne Williams,1227985,Miami Heat,12,5
